Nr,Question,Main Category,Field Name
399,"How do you deal with creative blocks?","ARTS & CREATIVITY","creative_blocks_and_solutions"
400,"How has your artistic style evolved over time?","ARTS & CREATIVITY","artistic_evolution"
401,"What is your family structure?","FAMILY","family_structure"
402,"How large is your family?","FAMILY","family_size"
403,"What is your relationship status?","FAMILY","relationship_status"
404,"Do you have children (yes, no, planning)?","FAMILY","children"
405,"What are your children\'s ages?","FAMILY","children_ages"
406,"What is your parenting style?","FAMILY","parenting_style"
407,"How close are you with extended family (close, moderate, distant)?","FAMILY","extended_family_closeness"
408,"What are your core family values?","FAMILY","family_values"
409,"What family traditions do you have?","FAMILY","family_traditions"
410,"How often does your family gather?","FAMILY","family_gathering_frequency"
411,"How would you describe your family communication (open, reserved, complex)?","FAMILY","family_communication_style"
412,"How does your family resolve conflicts?","FAMILY","conflict_resolution"
413,"What is your primary support system?","FAMILY","support_system"
414,"What caregiving roles do you have?","FAMILY","caregiving_responsibilities"
415,"How are household roles distributed in your family?","FAMILY","household_roles"
416,"How are family decisions made (joint, individual, shared)?","FAMILY","decision_making_family"
417,"What is your cultural heritage?","FAMILY","cultural_heritage"
418,"What language(s) are spoken at home?","FAMILY","language_spoken_at_home"
419,"What are your family\'s religious practices?","FAMILY","religious_practices"
420,"What are common family activities?","FAMILY","family_activities"
421,"What is your family vacation style?","FAMILY","vacation_style_family"
422,"How often does your family eat meals together?","FAMILY","family_meals_frequency"
423,"Do you have pets?","FAMILY","pet_situation"
424,"What is your living situation (alone, partner, family, roommates)?","FAMILY","living_situation"
425,"How far do you live from family (same city, nearby, far)?","FAMILY","proximity_to_family"
426,"What are your family support needs?","FAMILY","family_support_needs"
427,"What are your future family plans?","FAMILY","future_family_plans"
428,"What parenting challenges do you face?","FAMILY","parenting_challenges"
429,"What family health concerns do you have?","FAMILY","family_health_concerns"
430,"Do you have estate planning in place (yes, in progress, no)?","FAMILY","inheritance_planning"
431,"Is your family involved in a business?","FAMILY","family_business"
432,"How would you describe your sibling relationships?","FAMILY","sibling_relationships"
433,"How is your relationship with your parents?","FAMILY","parent_relationship"
434,"How is your relationship with in-laws?","FAMILY","in_law_relationships"
435,"How are your family boundaries (clear, flexible, needs work)?","FAMILY","family_boundaries"
436,"How would you describe your family dynamics?","FAMILY","family_dynamics"
437,"What family history is important to you?","FAMILY","family_history"
438,"What generational patterns do you notice in your family?","FAMILY","generational_patterns"
439,"What are your family\'s strengths?","FAMILY","family_strengths"
440,"What areas could your family improve on?","FAMILY","family_growth_areas"
441,"How does your family celebrate special occasions?","FAMILY","family_celebrations"
442,"How does your family handle crises?","FAMILY","family_crisis_management"
443,"How are relationships between generations in your family?","FAMILY","intergenerational_relationships"
444,"How have family roles evolved over time?","FAMILY","family_roles_evolution"
445,"If applicable, how do you navigate blended family dynamics?","FAMILY","blended_family_dynamics"
446,"What legacy do you want to create for your family?","FAMILY","family_legacy"
447,"Do you have chosen family (non-blood relatives who are like family)?","FAMILY","chosen_family"
448,"How do you ensure quality family time?","FAMILY","family_time_quality"
449,"How does your family approach technology use?","FAMILY","family_technology_use"
450,"How does your family approach finances together?","FAMILY","family_financial_approach"
451,"What is your age?","IDENTITY","age"
452,"What is your gender?","IDENTITY","gender"
453,"What are your pronouns?","IDENTITY","pronouns"
454,"What is your nationality?","IDENTITY","nationality"
455,"What is your ethnicity?","IDENTITY","ethnicity"
456,"What languages do you speak?","IDENTITY","languages_spoken"
457,"What is your religion or spirituality?","IDENTITY","religion"
458,"What is your political leaning?","IDENTITY","political_leaning"
459,"What is your education level?","IDENTITY","education_level"
460,"What is your personality type (MBTI, Enneagram, etc.)?","IDENTITY","personality_type"
461,"What are your core values?","IDENTITY","core_values"
462,"What is your life philosophy in one sentence?","IDENTITY","life_philosophy"
463,"What are your top 3 strengths?","IDENTITY","strengths"
464,"What are your areas for growth?","IDENTITY","weaknesses"
465,"Are you an introvert, extrovert, or ambivert?","IDENTITY","introvert_extrovert"
466,"What is your risk tolerance (high, medium, low)?","IDENTITY","risk_tolerance"
467,"What is your decision-making style (intuitive, analytical, both)?","IDENTITY","decision_making_style_general"
468,"What is your conflict style (avoid, confront, compromise)?","IDENTITY","conflict_style"
469,"What is your communication style (direct, indirect, context-dependent)?","IDENTITY","communication_style_general"
470,"What is your love language?","IDENTITY","love_language"
471,"What is your attachment style?","IDENTITY","attachment_style"
472,"Are you a morning or night person?","IDENTITY","morning_night_person"
473,"What is your organization style (neat, messy, functional chaos)?","IDENTITY","organization_style"
474,"What is your perfectionism level (high, medium, low)?","IDENTITY","perfectionism_level"
475,"Are you spontaneous or a planner?","IDENTITY","spontaneity_vs_planning"
476,"Are you an optimist, pessimist, or realist?","IDENTITY","optimism_pessimism"
477,"What is your social battery level (high, medium, low)?","IDENTITY","social_battery"
478,"What are your alone time needs (high, medium, low)?","IDENTITY","alone_time_needs"
479,"What are your top 3 life priorities?","IDENTITY","life_priorities"
480,"What is your biggest fear?","IDENTITY","biggest_fear"
481,"What is your biggest dream?","IDENTITY","biggest_dream"
482,"Who are your role models?","IDENTITY","role_models"
483,"What was your life-changing moment?","IDENTITY","life_changing_moment"
484,"What is your proudest moment?","IDENTITY","proudest_moment"
485,"What is your biggest regret?","IDENTITY","biggest_regret"
486,"What is your personal mission statement?","IDENTITY","personal_mission_statement"
487,"How has your identity evolved over time?","IDENTITY","identity_evolution"
488,"How do you describe your cultural identity?","IDENTITY","cultural_identity"
489,"How do you express your gender?","IDENTITY","gender_expression"
490,"What is your sexual orientation?","IDENTITY","sexuality"
491,"Do you identify as neurodiverse?","IDENTITY","neurodiversity"
492,"Do you have a disability that shapes your identity?","IDENTITY","disability_identity"
493,"What is your social class background?","IDENTITY","social_class_background"
494,"What generation do you identify with?","IDENTITY","generational_identity"
495,"What regional identity is important to you?","IDENTITY","regional_identity"
496,"How important is your professional identity to your overall sense of self?","IDENTITY","professional_identity"
497,"Do you identify as a creative person?","IDENTITY","creative_identity"
498,"What has your spiritual journey been like?","IDENTITY","spiritual_journey"
499,"What values conflicts have you navigated?","IDENTITY","values_conflicts"
500,"What identity labels are important to you?","IDENTITY","identity_labels"
501,"What is your learning style (visual, auditory, kinesthetic, reading)?","LEARNING","learning_style"
502,"What learning format do you prefer (video, text, audio, hands-on)?","LEARNING","preferred_learning_format"
503,"What is your learning pace (fast, moderate, slow)?","LEARNING","learning_pace"
504,"What is your best retention method?","LEARNING","retention_method"
505,"What is your focus span (long, medium, short)?","LEARNING","concentration_span"
506,"What is your best learning time of day?","LEARNING","best_learning_time"
507,"What learning environment works best (quiet, background noise, music)?","LEARNING","learning_environment"
508,"What is your note-taking style (detailed, brief, digital, handwritten)?","LEARNING","note_taking_style"
509,"What are your current learning goals?","LEARNING","learning_goals"
510,"What subjects interest you?","LEARNING","subjects_of_interest"
511,"What is your highest level of education?","LEARNING","formal_education"
512,"What online learning platforms do you use?","LEARNING","online_course_platforms"
513,"What is your monthly learning budget?","LEARNING","learning_budget"
514,"What certifications are you pursuing?","LEARNING","certifications_desired"
515,"Do you prefer learning with a mentor or self-taught?","LEARNING","mentor_preference"
516,"Do you prefer group or solo learning?","LEARNING","group_vs_solo_learning"
517,"How often do you practice new skills?","LEARNING","practice_frequency"
518,"What are your learning challenges?","LEARNING","learning_challenges"
519,"How quickly do you apply new knowledge (immediately, eventually, rarely)?","LEARNING","knowledge_application"
520,"What skill gaps are you working to fill?","LEARNING","skill_gaps"
521,"What languages are you learning?","LEARNING","languages_learning"
522,"How often do you read?","LEARNING","reading_frequency"
523,"How often do you listen to podcasts?","LEARNING","podcast_listening"
524,"How often do you watch documentaries?","LEARNING","documentary_watching"
525,"How often do you attend conferences?","LEARNING","conference_attendance"
526,"How high is professional development on your priority list (high, medium, low)?","LEARNING","professional_development"
527,"How often do you teach others (often, sometimes, rarely)?","LEARNING","teaching_others"
528,"What learning communities have you joined?","LEARNING","learning_community"
529,"How do you share knowledge (actively, occasionally, privately)?","LEARNING","knowledge_sharing"
530,"What areas spark your curiosity?","LEARNING","curiosity_areas"
531,"What motivates you to learn?","LEARNING","learning_motivation"
532,"How do you handle learning failure (bounce back, discouraged, motivated)?","LEARNING","failure_response"
533,"How many hours per day do you consume information?","LEARNING","information_consumption"
534,"How would you rate your critical thinking (strong, developing, needs work)?","LEARNING","critical_thinking"
535,"What are your go-to learning resources?","LEARNING","learning_resources"
536,"What study techniques work best for you?","LEARNING","study_techniques"
537,"How do you stay accountable to your learning goals?","LEARNING","learning_accountability"
538,"Do you engage in interdisciplinary learning?","LEARNING","interdisciplinary_learning"
539,"Do you prefer deep expertise or broad knowledge?","LEARNING","deep_vs_broad_learning"
540,"What learning milestones have you achieved?","LEARNING","learning_milestones"
541,"What learning projects are you working on?","LEARNING","learning_projects"
542,"How long does it typically take you to master a new skill?","LEARNING","skill_mastery_time"
543,"What learning setbacks have you overcome?","LEARNING","learning_setbacks"
544,"How aware are you of your knowledge gaps?","LEARNING","knowledge_gaps_awareness"
545,"How often do you reflect on what you\'ve learned?","LEARNING","learning_reflection"
546,"How willing are you to unlearn outdated knowledge?","LEARNING","unlearning_willingness"
547,"How often do you learn through experimentation?","LEARNING","experimental_learning"
548,"Do you study how you learn (meta-learning)?","LEARNING","meta_learning"
549,"What do you want to learn in the next year?","LEARNING","future_learning_goals"
550,"What knowledge or skills do you want to pass on to others?","LEARNING","learning_legacy"
551,"What is your relationship status?","RELATIONSHIPS","relationship_status_detailed"
552,"How long is your current relationship?","RELATIONSHIPS","relationship_length"
553,"What are your relationship goals?","RELATIONSHIPS","relationship_goals"
554,"What values are important in your partnerships?","RELATIONSHIPS","partnership_values"
555,"What is your relationship conflict resolution style?","RELATIONSHIPS","conflict_resolution_relationships"
556,"What are your quality time needs (high, medium, low)?","RELATIONSHIPS","quality_time_needs"
557,"What are your independence needs (high, medium, low)?","RELATIONSHIPS","independence_needs"
558,"What is your preferred communication frequency?","RELATIONSHIPS","communication_frequency"
559,"What is your affection style (physical, verbal, acts of service, gifts)?","RELATIONSHIPS","affection_style"
560,"How often do you have date nights?","RELATIONSHIPS","date_night_frequency"
561,"How important are shared interests (high, medium, low)?","RELATIONSHIPS","shared_interests"
562,"How important are separate interests (high, medium, low)?","RELATIONSHIPS","separate_interests"
563,"What is your financial approach in relationships (shared, separate, hybrid)?","RELATIONSHIPS","financial_approach"
564,"How are household responsibilities split?","RELATIONSHIPS","household_responsibilities"
565,"How do you balance social life (together, separate, balanced)?","RELATIONSHIPS","social_life_balance"
566,"What is your friend circle size (large, medium, small)?","RELATIONSHIPS","friend_circle_size"
567,"Do you have many acquaintances or few close friends?","RELATIONSHIPS","friendship_depth"
568,"How often do you contact friends?","RELATIONSHIPS","friend_contact_frequency"
569,"What are your preferred social activities?","RELATIONSHIPS","social_activities"
570,"How active is your networking (active, moderate, minimal)?","RELATIONSHIPS","networking"
571,"How are your relationship boundaries (clear, flexible, needs work)?","RELATIONSHIPS","boundaries_relationships"
572,"Do you trust easily (yes, selectively, rarely)?","RELATIONSHIPS","trust_level"
573,"What is your jealousy tendency (high, medium, low)?","RELATIONSHIPS","jealousy_tendency"
574,"What is your commitment readiness (ready, cautious, avoiding)?","RELATIONSHIPS","commitment_readiness"
575,"What impact have past relationships had (significant, moderate, minimal)?","RELATIONSHIPS","past_relationship_impact"
576,"What are your relationship deal-breakers?","RELATIONSHIPS","relationship_deal_breakers"
577,"What are ideal partner qualities for you?","RELATIONSHIPS","ideal_partner_qualities"
578,"What relationship challenges do you face?","RELATIONSHIPS","relationship_challenges"
579,"What are your support expectations in relationships?","RELATIONSHIPS","support_expectations"
580,"How important is growing together (high, medium, low)?","RELATIONSHIPS","growth_together"
581,"What patterns do you notice in your relationships?","RELATIONSHIPS","relationship_patterns"
582,"How comfortable are you with emotional intimacy?","RELATIONSHIPS","emotional_intimacy_comfort"
583,"How important is physical intimacy to you?","RELATIONSHIPS","physical_intimacy_importance"
584,"Who are your relationship role models?","RELATIONSHIPS","relationship_role_models"
585,"How do you maintain friendships?","RELATIONSHIPS","friendship_maintenance"
586,"What is your experience with long-distance relationships?","RELATIONSHIPS","long_distance_experience"
587,"What is your relationship communication style?","RELATIONSHIPS","relationship_communication_style"
588,"How comfortable are you being vulnerable in relationships?","RELATIONSHIPS","vulnerability_in_relationships"
589,"How do you repair relationships after conflict?","RELATIONSHIPS","relationship_repair"
590,"What are your social connection needs?","RELATIONSHIPS","social_connection_needs"
591,"How involved are you in your community?","RELATIONSHIPS","community_involvement"
592,"What are your relationship priorities?","RELATIONSHIPS","relationship_priorities"
593,"How have your friendships evolved over time?","RELATIONSHIPS","friendship_evolution"
594,"How do you balance relationships and work?","RELATIONSHIPS","relationship_work_balance"
595,"How do you define a healthy relationship?","RELATIONSHIPS","healthy_relationship_definition"
596,"What are relationship red flags for you?","RELATIONSHIPS","relationship_red_flags"
597,"What is your approach to forgiveness in relationships?","RELATIONSHIPS","forgiveness_approach"
598,"What are your expectations in relationships?","RELATIONSHIPS","relationship_expectations"
599,"Do you tend to avoid or engage with conflict?","RELATIONSHIPS","conflict_avoidance_tendency"
600,"What areas of relationships do you want to improve?","RELATIONSHIPS","relationship_growth_areas"
601,"What is your morning routine?","HABITS","morning_routine"
602,"What is your evening routine?","HABITS","evening_routine"
603,"What is your typical wake time?","HABITS","wake_up_time"
604,"What is your typical bedtime?","HABITS","bedtime"
605,"How much screen time do you have before bed?","HABITS","screen_time_before_bed"
606,"What is your morning beverage?","HABITS","morning_beverage"
607,"How often do you eat breakfast (daily, sometimes, skip)?","HABITS","breakfast_habit"
608,"What is your commute time?","HABITS","commute_time"
609,"How often do you take breaks during work?","HABITS","work_breaks"
610,"How long is your lunch break?","HABITS","lunch_break"
611,"What is your afternoon energy level (high, medium, low)?","HABITS","afternoon_energy"
612,"When do you exercise (morning, afternoon, evening)?","HABITS","exercise_timing"
613,"How often do you meal prep (daily, weekly, rarely)?","HABITS","meal_prep_frequency"
614,"How often do you clean?","HABITS","cleaning_frequency"
615,"How often do you do laundry?","HABITS","laundry_frequency"
616,"When do you run errands (weekday, weekend, as needed)?","HABITS","errands_timing"
617,"How much time do you spend on social media daily?","HABITS","social_media_usage"
618,"How often do you consume news (daily, weekly, rarely)?","HABITS","news_consumption"
619,"How much time do you spend on hobbies per week?","HABITS","hobbies_frequency"
620,"How much TV or streaming do you watch per day?","HABITS","tv_streaming_time"
621,"How often do you game?","HABITS","gaming_frequency"
622,"How much time do you spend reading per day?","HABITS","reading_time"
623,"How often do you meditate (daily, weekly, rarely, never)?","HABITS","meditation_practice"
624,"How often do you journal (daily, weekly, rarely, never)?","HABITS","journaling"
625,"How often do you plan (daily, weekly, monthly)?","HABITS","planning_frequency"
626,"When is your productivity peak time?","HABITS","productivity_peak"
627,"What is your procrastination tendency (high, medium, low)?","HABITS","procrastination_tendency"
628,"How often do you multitask (often, sometimes, rarely)?","HABITS","multitasking"
629,"Do you track your habits?","HABITS","habit_tracking"
630,"How flexible is your routine (rigid, balanced, flexible)?","HABITS","routine_flexibility"
631,"How consistent is your sleep schedule?","HABITS","sleep_consistency"
632,"Do you nap regularly?","HABITS","nap_habits"
633,"When do you consume caffeine?","HABITS","caffeine_timing"
634,"What are your alcohol consumption habits?","HABITS","alcohol_consumption_habits"
635,"How often do you digital detox?","HABITS","digital_detox_frequency"
636,"What is your self-care routine?","HABITS","self_care_routine"
637,"Do you practice gratitude regularly?","HABITS","gratitude_practice_habits"
638,"How often do you reflect on your day?","HABITS","reflection_time"
639,"How often do you review your goals?","HABITS","goal_review_frequency"
640,"Do you use habit stacking?","HABITS","habit_stacking"
641,"What are your trigger habits?","HABITS","trigger_habits"
642,"What are your keystone habits?","HABITS","keystone_habits"
643,"What bad habits are you aware of?","HABITS","bad_habits_awareness"
644,"How do you approach changing habits?","HABITS","habit_change_approach"
645,"How do you respond when your routine is disrupted?","HABITS","routine_disruption_response"
646,"How different is your weekend routine?","HABITS","weekend_routine_difference"
647,"Do your habits change with seasons?","HABITS","seasonal_habit_changes"
648,"How do you stay accountable to your habits?","HABITS","habit_accountability"
649,"How do you design your environment to support good habits?","HABITS","environment_design"
650,"How do you reward yourself for good habits?","HABITS","habit_rewards"
651,"What sports do you play?","SPORTS & HOBBIES","sports_participation"
652,"How often do you exercise?","SPORTS & HOBBIES","exercise_frequency_sports"
653,"What is your fitness level (high, medium, low)?","SPORTS & HOBBIES","fitness_level"
654,"Do you prefer team or individual sports?","SPORTS & HOBBIES","team_vs_individual_sports"
655,"Do you prefer outdoor or indoor activities?","SPORTS & HOBBIES","outdoor_vs_indoor"
656,"How competitive are you (very, somewhat, not)?","SPORTS & HOBBIES","competitive_nature"
657,"What is your monthly sports budget?","SPORTS & HOBBIES","sports_budget"
658,"What sports equipment do you own?","SPORTS & HOBBIES","equipment_owned"
659,"Do you have a gym membership?","SPORTS & HOBBIES","gym_membership"
660,"What are your sports goals?","SPORTS & HOBBIES","sports_goals_specific"
661,"What is your injury history?","SPORTS & HOBBIES","injury_history"
662,"What are your recovery needs?","SPORTS & HOBBIES","recovery_needs_sports"
663,"What sports events do you attend?","SPORTS & HOBBIES","sports_events_attended"
664,"What sports do you like to watch?","SPORTS & HOBBIES","favorite_sports_to_watch"
665,"What are your hobbies?","SPORTS & HOBBIES","hobbies_list"
666,"How much time do you spend on hobbies per week?","SPORTS & HOBBIES","hobby_time_per_week"
667,"What is your hobby budget?","SPORTS & HOBBIES","hobby_budget"
668,"Are your hobbies solo, social, or both?","SPORTS & HOBBIES","hobby_social_aspect"
669,"What are your hobby skill levels?","SPORTS & HOBBIES","hobby_skill_level"
670,"What new hobbies would you like to try?","SPORTS & HOBBIES","hobby_learning_interest"
671,"What do you collect?","SPORTS & HOBBIES","collections"
672,"Do you do crafts or DIY?","SPORTS & HOBBIES","crafts_diy"
673,"What instruments do you play?","SPORTS & HOBBIES","music_instruments"
674,"How often do you practice music?","SPORTS & HOBBIES","music_practice"
675,"What creative hobbies do you have?","SPORTS & HOBBIES","creative_hobbies"
676,"What outdoor activities do you enjoy?","SPORTS & HOBBIES","outdoor_activities"
677,"What water sports or activities do you do?","SPORTS & HOBBIES","water_activities"
678,"What winter activities do you enjoy?","SPORTS & HOBBIES","winter_activities"
679,"What is your adventure level (high, medium, low)?","SPORTS & HOBBIES","adventure_level"
680,"What hobbies help you relax?","SPORTS & HOBBIES","relaxation_hobbies"
681,"Who are your sports role models?","SPORTS & HOBBIES","sports_role_models"
682,"What is your athletic background?","SPORTS & HOBBIES","athletic_background"
683,"What sports achievements are you proud of?","SPORTS & HOBBIES","sports_achievements"
684,"What is your training approach?","SPORTS & HOBBIES","training_approach"
685,"Are you part of a sports community?","SPORTS & HOBBIES","sports_community"
686,"What are your workout preferences?","SPORTS & HOBBIES","workout_preferences"
687,"What motivates you in sports?","SPORTS & HOBBIES","sports_motivation"
688,"How have your hobbies evolved over time?","SPORTS & HOBBIES","hobby_evolution"
689,"How much do you invest in your hobbies?","SPORTS & HOBBIES","hobby_investment"
690,"What achievements have you made in your hobbies?","SPORTS & HOBBIES","hobby_achievements"
691,"Are you part of hobby communities?","SPORTS & HOBBIES","hobby_community"
692,"Do you share your hobbies with others?","SPORTS & HOBBIES","hobby_sharing"
693,"Do any hobbies generate income for you?","SPORTS & HOBBIES","hobby_income"
694,"What seasonal sports or hobbies do you have?","SPORTS & HOBBIES","seasonal_sports"
695,"How do sports integrate with your lifestyle?","SPORTS & HOBBIES","sports_lifestyle_integration"
696,"How do you balance hobbies with other responsibilities?","SPORTS & HOBBIES","hobby_balance"
697,"What are your future sports goals?","SPORTS & HOBBIES","future_sports_goals"
698,"What hobby goals do you have for the future?","SPORTS & HOBBIES","future_hobby_goals"
699,"What is your philosophy on play and leisure?","SPORTS & HOBBIES","play_philosophy"
700,"How do you explore new hobbies?","SPORTS & HOBBIES","hobby_exploration"
701,"What is your tech comfort level (expert, comfortable, learning, struggling)?","TECHNOLOGY","tech_comfort_level"
702,"What are your primary devices?","TECHNOLOGY","primary_devices"
703,"What phone do you use?","TECHNOLOGY","phone_model"
704,"What computer operating system do you use?","TECHNOLOGY","computer_os"
705,"How do you use tablets?","TECHNOLOGY","tablet_usage"
706,"Do you use a smartwatch?","TECHNOLOGY","smartwatch"
707,"What smart home devices do you have?","TECHNOLOGY","smart_home_devices"
708,"What gaming devices do you own?","TECHNOLOGY","gaming_devices"
709,"Do you use VR or AR?","TECHNOLOGY","vr_ar_usage"
710,"How often do you upgrade devices?","TECHNOLOGY","tech_upgrade_frequency"
711,"What is your technology budget?","TECHNOLOGY","tech_budget"
712,"What are your software preferences?","TECHNOLOGY","software_preferences"
713,"What cloud storage do you use?","TECHNOLOGY","cloud_storage"
714,"Do you use a password manager?","TECHNOLOGY","password_manager"
715,"Do you use a VPN?","TECHNOLOGY","vpn_usage"
716,"What is your privacy concern level (high, medium, low)?","TECHNOLOGY","privacy_concerns"
717,"How often do you backup your data?","TECHNOLOGY","data_backup"
718,"What social media platforms do you use?","TECHNOLOGY","social_media_platforms"
719,"What messaging apps do you use?","TECHNOLOGY","messaging_apps"
720,"What email client do you use?","TECHNOLOGY","email_clients"
721,"What is your preferred browser?","TECHNOLOGY","browser_preference"
722,"What streaming services do you subscribe to?","TECHNOLOGY","streaming_services"
723,"What music service do you use?","TECHNOLOGY","music_service"
724,"What podcast platform do you use?","TECHNOLOGY","podcast_platform"
725,"What productivity apps do you use?","TECHNOLOGY","productivity_apps"
726,"What AI tools do you use?","TECHNOLOGY","ai_tools_used"
727,"What automation tools do you use?","TECHNOLOGY","automation_tools"
728,"How do you approach learning new technology (eager, willing, reluctant)?","TECHNOLOGY","tech_learning"
729,"What is your daily screen time?","TECHNOLOGY","screen_time_daily"
730,"How often do you do a digital detox?","TECHNOLOGY","digital_detox"
731,"What frustrates you about technology?","TECHNOLOGY","tech_frustrations"
732,"What is on your technology wishlist?","TECHNOLOGY","tech_wishlist"
733,"Are you an early adopter (yes, sometimes, no)?","TECHNOLOGY","early_adopter"
734,"Do you self-solve tech issues or ask for help?","TECHNOLOGY","tech_support"
735,"How often do you shop online?","TECHNOLOGY","online_shopping_frequency"
736,"How do you organize your digital life?","TECHNOLOGY","digital_organization"
737,"What technology are you most dependent on?","TECHNOLOGY","tech_dependencies"
738,"Do you practice tech minimalism?","TECHNOLOGY","tech_minimalism"
739,"How do you manage notifications?","TECHNOLOGY","notification_management"
740,"What digital wellbeing practices do you have?","TECHNOLOGY","digital_wellbeing"
741,"What are your views on tech ethics?","TECHNOLOGY","tech_ethics"
742,"What actions do you take for data privacy?","TECHNOLOGY","data_privacy_actions"
743,"What security measures do you use?","TECHNOLOGY","tech_security_measures"
744,"What software subscriptions do you have?","TECHNOLOGY","software_subscriptions"
745,"How does technology influence your life?","TECHNOLOGY","tech_influence_on_life"
746,"What future technologies interest you?","TECHNOLOGY","future_tech_interest"
747,"What tech skills are you developing?","TECHNOLOGY","tech_skills_development"
748,"What technology tools do you use for work?","TECHNOLOGY","tech_work_tools"
749,"How do you use technology for entertainment?","TECHNOLOGY","tech_entertainment"
750,"How do you use technology for socializing?","TECHNOLOGY","tech_socialization"
751,"What type of housing do you live in (house, apartment, condo, other)?","HOUSING & LIFESTYLE","housing_type"
752,"Do you own or rent?","HOUSING & LIFESTYLE","home_ownership"
753,"What is your living space size (sqft/sqm)?","HOUSING & LIFESTYLE","living_space_size"
754,"How many bedrooms do you have?","HOUSING & LIFESTYLE","bedrooms"
755,"How many bathrooms do you have?","HOUSING & LIFESTYLE","bathrooms"
756,"Do you have outdoor space?","HOUSING & LIFESTYLE","outdoor_space"
757,"Do you have a home office?","HOUSING & LIFESTYLE","home_office"
758,"What is your parking situation?","HOUSING & LIFESTYLE","parking"
759,"What type of neighborhood do you live in (urban, suburban, rural)?","HOUSING & LIFESTYLE","neighborhood_type"
760,"What is your commute time to work?","HOUSING & LIFESTYLE","commute_to_work"
761,"How walkable is your neighborhood (high, medium, low)?","HOUSING & LIFESTYLE","walkability_score"
762,"What is your public transport access like?","HOUSING & LIFESTYLE","public_transport_access"
763,"What essential amenities are nearby?","HOUSING & LIFESTYLE","nearby_amenities"
764,"What is your noise tolerance (high, medium, low)?","HOUSING & LIFESTYLE","noise_tolerance"
765,"How important is natural light (high, medium, low)?","HOUSING & LIFESTYLE","natural_light_importance"
766,"What is your interior style?","HOUSING & LIFESTYLE","interior_style"
767,"What is your furniture budget?","HOUSING & LIFESTYLE","furniture_budget"
768,"Do you have plants at home?","HOUSING & LIFESTYLE","plant_ownership"
769,"Do you do home maintenance yourself or hire help?","HOUSING & LIFESTYLE","home_maintenance"
770,"Do you use a cleaning service?","HOUSING & LIFESTYLE","cleaning_service"
771,"What recent or planned renovations do you have?","HOUSING & LIFESTYLE","home_renovations"
772,"What is your smart home level (high, medium, low)?","HOUSING & LIFESTYLE","smart_home_level"
773,"How important is energy efficiency (high, medium, low)?","HOUSING & LIFESTYLE","energy_efficiency"
774,"How sustainable is your home (high, medium, low)?","HOUSING & LIFESTYLE","sustainability_home"
775,"Is your space pet-friendly?","HOUSING & LIFESTYLE","pet_friendly"
776,"Do you have guest space?","HOUSING & LIFESTYLE","guest_accommodation"
777,"What is your storage situation (ample, adequate, limited)?","HOUSING & LIFESTYLE","storage_situation"
778,"What home security measures do you have?","HOUSING & LIFESTYLE","home_security"
779,"What are your monthly utilities costs?","HOUSING & LIFESTYLE","utilities_budget"
780,"What do you pay in rent or mortgage?","HOUSING & LIFESTYLE","rent_mortgage"
781,"How often do you move?","HOUSING & LIFESTYLE","move_frequency"
782,"What is your ideal location to live?","HOUSING & LIFESTYLE","ideal_location"
783,"What climate do you prefer for housing?","HOUSING & LIFESTYLE","climate_preference_housing"
784,"What are your future housing plans?","HOUSING & LIFESTYLE","future_housing_plans"
785,"How do you define the value of a home?","HOUSING & LIFESTYLE","home_value"
786,"How engaged are you with your local community?","HOUSING & LIFESTYLE","community_engagement"
787,"How satisfied are you with your neighborhood?","HOUSING & LIFESTYLE","neighborhood_satisfaction"
788,"How have you personalized your home?","HOUSING & LIFESTYLE","home_personalization"
789,"Do you plan to downsize or upsize?","HOUSING & LIFESTYLE","downsizing_upsizing_plans"
790,"Are you interested in a second home?","HOUSING & LIFESTYLE","second_home_interest"
791,"What would make you relocate?","HOUSING & LIFESTYLE","relocation_considerations"
792,"What are your home priorities?","HOUSING & LIFESTYLE","home_priorities"
793,"How do you use your living space?","HOUSING & LIFESTYLE","space_usage"
794,"What home improvement projects interest you?","HOUSING & LIFESTYLE","home_improvement_projects"
795,"What are your roommate preferences?","HOUSING & LIFESTYLE","roommate_preferences"
796,"Do you prefer living alone or with others?","HOUSING & LIFESTYLE","living_alone_preference"
797,"What percentage of income goes to housing?","HOUSING & LIFESTYLE","housing_budget_percentage"
798,"How would you describe your dream home?","HOUSING & LIFESTYLE","dream_home_description"
799,"What housing trade-offs have you made?","HOUSING & LIFESTYLE","housing_trade_offs"
800,"How satisfied are you with your current housing situation (1-10)?","HOUSING & LIFESTYLE","housing_satisfaction"
801,"How concerned are you about environmental issues?","ENVIRONMENT","environmental_concern"
802,"What actions do you take to address climate change?","ENVIRONMENT","climate_action"
803,"How consistently do you recycle at home and at work?","ENVIRONMENT","recycling_habits"
804,"Do you compost food waste and yard waste?","ENVIRONMENT","composting"
805,"What steps do you take to reduce waste in your daily life?","ENVIRONMENT","waste_reduction"
806,"What reusable items do you regularly use (bags, bottles, containers, etc.)?","ENVIRONMENT","reusable_items"
807,"How actively do you try to avoid single-use plastics?","ENVIRONMENT","plastic_avoidance"
808,"What do you do to conserve energy at home?","ENVIRONMENT","energy_conservation"
809,"How do you practice water conservation?","ENVIRONMENT","water_conservation"
810,"Do you use renewable energy sources (solar, wind, etc.)?","ENVIRONMENT","renewable_energy"
