number,question,answer
7,"Was gibt deinem Leben Richtung, wenn du gerade keine klare Strategie hast?",Meine Intuition
8,"Was ist fiir dich ein Zeichen dafiir, dass du auf dem richtigen Weg bist?","ARDMA S Zustimmung, aber auch wenn ich Diskussionen entfache Frane 9: wrathe Gindlve-werd tn Ceurenyours Wenn ich etwas mache, woftir ich passioniert bin"
10,"Woran merkst du, dass du dich selbst verlierst?",AGVESE Inneres Stressgefiihl (und ich mache nicht mehr regelmaBig Sport)
11,"Vv Was hilft dir am meisten, dich dann wieder zu finden:",Fokussieren und gedanklich einma alles aufraumen
12,Wofiir méchtest du langfristig bekannt sein? ObV4LE,Dass ich was bewegt habe in der Gesellschaft
13,Wofiir méchtest du nicht bekannt sein? @0F4~ v,Egoistisch gewesen zu sein
14,Was gibt deinem Leben Bedeutung jenseits von Arbeit oder Erfolg?,"AbVLS Meine Frau, mein Hund und was ich mit denen erlebe"
15,"Was bedeutet ,Vertrauen” fir dich in einem Satz?","Oder wenn ich jemanden eine Aufgabe iibertrage und er/sie diese so umsetzt, wie er/sie es fiir richtig halt, ohne dass ich es kontrollieren muss."
16,Was motiviert dich starker — Lob oder sichtbarer Fortschritt?,Ich mag Lob (wer nicht?!). Aber sichtbarer Fortschritt motiviert mich starker.
17,Was ist fiir dich schlimmer — Stillstand oder Kontrollverlust?,Vo pees tee atetee Peeee a8 Stillstand
18,"Was brauchst du, um dich wirklich frei zu fulhlen?","AGV4ESE Bei der Arbeit: Freiheit, selbst entscheiden zu konnen, ohne mich permanent rechtfertigen zu miissen. Privat: etwas einfach machen zu kénne, ohne dariiber nachdenken zu miissen (z.B. Einkaufen, ohne auf den Preis zu achten; Reisen, ohne auf das Geld zu a~) ‘en’ yen)"
19,"Was bedeutet ,,Balance"" fur dich — und woran merkst du, wenn du sie verlierst?","Balance ist mein pers6nlicher Nordstern. Ich merke es bspw., wenn ich in den Emotionen schnell hin und her springe (z.B. von Faszination zu Frust)"
20,"Was brauchst du, um in solchen Momenten wieder in Balance zu kommen?",OGRV4EE Jemanden zum reden
21,"Was erwartest du in solchen Momenten von der anderen Person — eher ZuhGren, ehrliches Feedback oder konkrete Hilfe?",ObV4LE Zuh6ren und ehrliches Feedback
22,"Was wiinschst du dir, dass Menschen intuitiv Uber dich verstehen — ohne dass du es erklaren musst?",Dass man mich machen lassen muss und mir nicht zu viel reinredet.
23,"Was glaubst du, missverstehen Menschen am haufigsten an dir?","Ab6RV4EE Viele Leute denken, ich nehme Dinge persdnlich, obwohl ich eher versuche, etwas kritisch zu betrachten und zu verstehen. Und vor allem nicht frustriert bin."
24,"Was bedeutet fiir dich Starke""?",5 oa 7 SUnWwaLne! ai sii SeWst cine: se eucuyever une was yeydht zu tun.
25,Was gibt dir in schwierigen Zeiten Halt?,"AbVLS Meine Frau, mein Hund. und bei der Arbeit, mein Team."
26,Wann fiihlst du dich am meisten du selbst?,"Aktuell: wenn ich an meinem Startup arbeite. Ich bin ein Visionar, ich bin ein Nerd, ich bin ein Generalist. All das kann ich da einbringen."
27,"Was gibt dir das Gefiihl, dazuzugehéren?",Nach meiner Meinung gefragt zu werden und diese auch beriicksichtigt wird.
29,Was lasst dich sofort innerlich abschalten oder das Interesse verlieren?,"Wenn jemand zu idealistisch ist und versucht mich davon zu iiberzeugen, ohne meine Perspektive zu beriicksichtigen. Sprich, jemand einfach nur seine Meinung durchdriicken will. Oder wenn jemand einfach nicht zum Punkt kommt."
30,"Was brauchst du, damit du jemandem langfristig vertraust?","Beweis, dass ich mich auf jemanden verlassen kann."
31,"Was wiirdest du sagen, ist deine gréBte Starke im LY ,ang mit Menschen?","Empathie Ich kann Leute auch mal vorn Kopf stoBen Gute Mischung — empathisch, aber auch direkt. Das erklart viel."
32,Was wiirdest du als deine gréBte Schwéche im Umgang mit Menschen bezeichnen?,AbV4LE Die Frage hab ich grad beantwortet oder nicht? Vv Stimmt — du warst mir da schon einen Schritt voraus. banin airékt weit
33,"Was gibt dir im Alltag das Gefiihl, dass dein Leben Sinn hat?","AbGV4ESE Wenn ich an etwas arbeite, von dem ich glaube, etwas in der Welt zu bewegen."
34,"Was ware fiir dich ein Zeichen, dass du dich selbst verraten wiirdest?",AbV4LES Wann ich antaanan meiner Intuitian adr mainam Charaktar Handal
35,Was fallt dir leichter - an andere zu glauben oder an dich selbst? AbV4E,"An andere zu glsube Frane 2A- trege eee Was wiinschst du dir, dass andere mehr tiber dich verstehen wiirden? Ab? 1, gS o Sunline Was Hates UUDErriaye Zo SUIIUN Rial TUHHTUNE! Dann iberspringen wir das und schlieBen Block 1 hier rund ab. Nachster Schritt: Block 2 - Routinen & Systeme (Also: wie du funktionierst, wie du Entscheidungen triffst, was dich produktiv oder ruhig halt.)"
